occurrence_id	work	language	match	short_context	ai_decision	confidence	reason_code	review_note
gissing-the-odd-women-912b570ed81fd9e9	gissing-the-odd-women	en	I love you	“No. If I understand what love means, I love you.”	KEEP	0.99	VALID_EXPLICIT_LOVE_I_YOU	The speaker explicitly states “I love you,” with first-person singular as experiencer and second person as the direct target of love.
skram-constance-ring-20cf299d1bfdc4cf	skram-constance-ring	no	jeg elsker dig	»Tror du ikke, jeg besidder den fulde Evne til at elske dig, Constance? Tror du ikke, jeg elsker dig saa højt som det er mu ligt?* spurgte han indtrængende.	KEEP	0.99	VALID_EXPLICIT_LOVE_I_YOU	The clause «jeg elsker dig» explicitly realizes first-person singular experiencer jeg with second-person target dig; the interrogative framing does not affect membership.
skram-constance-ring-2b09d5b293401db7	skram-constance-ring	no	Jeg elsker dig	,Jeg elsker dig, Constance det er Alvor, ganske anderledes end jeg selv endog vidste. Jeg giver dig mig selv, mit Liv, min Sjæl, - vil du ikke ta imod det?*	KEEP	0.99	VALID_EXPLICIT_LOVE_I_YOU	Norwegian «Jeg elsker dig» explicitly realizes first-person singular «jeg» as experiencer and second-person «dig» as the direct target of love.
skram-constance-ring-51a22b8927b39e5a	skram-constance-ring	no	jeg elsker Dem	Jeg har flere Gange været hos Dem, uden at træffe Dem; saa faar jeg prøve paa at skrive. Men jeg er saa bange for at støde eller skræmmæe dem, at jeg ikke véd, hvordan jeg skal belægge mine Ord. Det er dette, jeg vil sige Dem, at jeg nu har grublet og grundet over mig og Dem i lange Tider, og at jeg ved til Bunden af min Sjæl, at jeg elsker Dem med en Kjærlighed, som De kunde være tjent med. Hos Dem ligger for mig Lykken i Livet. Vil De ikke have noget med mig at skaffe, finder jeg den ikke paa denne Jord.	KEEP	0.99	VALID_EXPLICIT_LOVE_I_YOU	Norwegian “jeg elsker Dem” explicitly realizes first-person singular experiencer (“jeg”) loving the formal second-person target (“Dem”).
skram-constance-ring-7122280fbf634f60	skram-constance-ring	no	Jeg elskede dig	„Jeg elskede dig, Conny.“	KEEP	0.99	VALID_EXPLICIT_LOVE_I_YOU	Norwegian «Jeg elskede dig, Conny» explicitly realizes first-person singular past LOVE with second-person «dig» as the target.
skram-constance-ring-82ad004cd50823dc	skram-constance-ring	no	jeg elsker dig	For han var mit alt og min Glæde, og han lignede sin Fader saa op i Dagen, og jeg véd, at det ikke er dig behageligt nu, siden du er gift og ikke længer elsker mig, men det var for mig en Hjærtens Fryd at se denne Lighed, for jeg kunde ikke holde op at elske dig, da du forlod mig og fæstede dit Hjærte ved en anden. Desværre for mig, det var min Kval, men ogsaa min Glæde, og jeg elsker dig den Dag i Dag lige saa højt som den Gang, da du kaldte mig din Pusunge og sagde, at min Kjærlighed var din Trøst og Lykke. Og naar jeg tænker paa alle de dejlige Aftener og Nætter jeg tilbragte hos dig, flyder mine Taarer, og det vil de gjøre bestandig, for jeg glemmer dig ikke i dette Liv. Men nok herom, min søde, kjære Gut døde i Dag for otte Dage siden, og blev begravet paa femte Dagen. Hans Kiste var saa pen, og den var ganske fuld af Blomster, og han var akkurat paa Dagen 1 Aar og 8 Maaneder, for han var født i Januar, som du var rejst i Oktober, hvis du husker det. Det var Tyfus han havde, og han led græsselige Smerter. Kort før han døde, slog han Øjnene op og saa' paa mig, som om han vilde klage sig, og det stak mig i Hjærtet, at'jeg havde sat ham ind i Verden med Skam, jeg ludet mig over ham og talte til ham, skjønt jeg var kvalt af Graad, og saa smilte han saa sødt, og saa drog han Pusten tungt	KEEP	0.99	VALID_EXPLICIT_LOVE_I_YOU	The clause “jeg elsker dig” explicitly uses first-person singular “jeg” as the experiencer and second-person “dig” as the direct target of love.
skram-constance-ring-9bfcf6a516241001	skram-constance-ring	no	Jeg elsker dig	maaet helt at ta mig fra dig. Havde hun ikke styrtet over mig med sin Kjærlighed, var jeg aldrig kommen til at tænke paa hende. I dine Arme har jeg det bedst, det skal du huske og tro er sandt. Jeg elsker dig virkelig Kristine; du er saa fin og sød og yndig, notabene naar du er blid og munter, det klær dig ikke at surmule og fælde Taarer –- hører du Pus!» -	KEEP	0.99	VALID_EXPLICIT_LOVE_I_YOU	Norwegian «Jeg elsker dig virkelig Kristine» explicitly realizes first-person singular elsker with second-person dig as the loved target.
skram-constance-ring-bbe05d10a5783b37	skram-constance-ring	no	jeg elsker dig	nForhaan mig, træd paa mig, spyt paa mig, dræb mig!» raabte han, ,jeg er en Pjalt, en elendig Fyr, som ikke har vidst, hvad Skat jeg besad, et Menneske, som ikke er værd at løse dit Skobaand, men jeg elsker dig, Constance, nej, lad mig tale, jeg elsker og forguder dig, jeg ligger i Støvet og kysser dine Fødder, jeg bryr mig ikke om nogen i Verden uden dig hvad du saa end tror.* Han holdt Hænderne om Hodet og vred sig som i Krampe.	KEEP	0.99	VALID_EXPLICIT_LOVE_I_YOU	The speaker explicitly says “jeg elsker dig, Constance” (‘I love you, Constance’), with first-person experiencer and second-person target.
skram-constance-ring-c77676a179ffa750	skram-constance-ring	no	Jeg har elsket Dem	„Jeg har elsket Dem hele mit Liv, fra den første Tid jeg saa Dem, og jeg har lidt i en Grad, saa De aner det ikke. Giv mig Lov til at være, som jeg kan og maa.» Han havde rejst sig op og stod nu foran hende. ,Jeg vil intet ondt gjøre Dem* der kom en vemodig Klang i Stemmen. ,Tror De vel det?* y	KEEP	0.99	VALID_EXPLICIT_LOVE_I_YOU	Norwegian «Jeg har elsket Dem» explicitly realizes first-person singular experiencer «Jeg» loving the second-person formal target «Dem».
gissing-the-odd-women-186d3cf57fc4c227	gissing-the-odd-women	en	I no longer love you	“Yes, I no longer love you.”	KEEP	1.0	VALID_EXPLICIT_LOVE_I_YOU	The clause explicitly realizes first-person singular “I” as experiencer and second-person “you” as the target of “love”; the cessative negation “no longer” remains in scope.
