occurrence_id	work	language	match	short_context	ai_decision	confidence	reason_code	review_note
tolstoy-war-and-peace-9bfa2405f3e556ec	tolstoy-war-and-peace	ru	Je vous aime	— Нет, это нельзя, — сказала она решительно, всплеснув руками. — Non, Marie, décidement ça ne vous va pas. Je vous aime mieux dans votre petite robe grise de tous les jours. Non, de grâce, faites cela pour moi. Катя, — сказала она горничной, — принеси княжне серенькое платье, и посмотрите, m-lle Bourienne, как я это устрою, — сказала она с улыбкой предвкушения артистической радости.	EXCLUDE	0.99	EXCLUDE_NOT_LOVE_SENSE	French «Je vous aime mieux dans votre petite robe grise» means “I like/prefer you in your little gray dress,” with aimer mieux expressing preference rather than love.
shakespeare-king-lear-1c492e4522915225	shakespeare-king-lear	en	I must love you	KENT. I must love you, and sue to know you better.	KEEP	0.99	VALID_EXPLICIT_LOVE_I_YOU	“I must love you” explicitly realizes first-person singular “I” as the experiencer of love and “you” as its direct second-person target.
shakespeare-king-lear-97d3418f54f0370b	shakespeare-king-lear	en	I love your majesty	CORDELIA. Unhappy that I am, I cannot heave My heart into my mouth: I love your majesty According to my bond; no more nor less.	KEEP	0.99	VALID_EXPLICIT_LOVE_I_YOU	“I” is the experiencer of “love,” and the addressee is explicitly targeted through the second-person royal form “your majesty.”
tolstoy-war-and-peace-06d71e5250469d71	tolstoy-war-and-peace	ru	Я вас всех люблю	— Вот видите ли, моя милая княжна и кузина, Катерина Семеновна, — продолжал князь Василий, видимо, не без внутренней борьбы приступая к продолжению своей речи, — в такие минуты, как теперь, обо всем надо подумать. Надо подумать о будущем, о вас... Я вас всех люблю, как своих детей, ты это знаешь.	KEEP	0.99	VALID_EXPLICIT_LOVE_I_YOU	Russian «Я вас всех люблю» explicitly means “I love all of you,” with first-person singular experiencer and second-person target.
tolstoy-war-and-peace-0c29fdb355707ad8	tolstoy-war-and-peace	ru	я вас давно знаю и люблю	— Ведь я вас давно знаю и люблю как брата, — сказала она. — Как вы нашли Андрея? — спросила она поспешно, не давая ему времени сказать что-нибудь в ответ на ее ласковые слова. — Он очень беспокоит меня. Здоровье его зимой лучше, но прошлою весной рана открылась, и доктор сказал, что он должен ехать лечиться. И нравственно я очень боюсь за него. Он не такой характер как мы, женщины, чтобы выстрадать и выплакать свое горе. Он внутри себя носит его. Нынче он весел и оживлен; но это ваш приезд так подействовал на него: он редко бывает таким. Ежели бы вы могли уговорить его поехать за границу! Ему нужна деятельность, а эта ровная, тихая жизнь губит его. Другие не замечают, а я вижу.	KEEP	0.99	VALID_EXPLICIT_LOVE_I_YOU	Russian «я вас … люблю как брата» explicitly realizes first-person singular experiencer («я») loving the second-person target («вас»); the fraternal qualification does not alter predicate membership.
tolstoy-war-and-peace-17abcfdad026ed90	tolstoy-war-and-peace	ru	я вас душой люблю	о света. Добродетели никто не любит, она всем глаза колет. Ну, скажите, граф, справедливо это, честно это со стороны Безухова? А Федя по своему благородству любил его, и теперь никогда ничего дурного про него не говорит. В Петербурге эти шалости с квартальным, там что-то шутили, ведь они вместе делали? Что ж, Безухову ничего, а Федя всё на своих плечах перенес! Ведь чтò он перенес! Положим, возвратили, да ведь как же и не возвратить? Я думаю таких, как он, храбрецов и сынов отечества не много там было. Чтò ж теперь — эта дуэль? Есть ли чувство честь у этих людей! Зная, что он единственный сын, вызвать на дуэль и стрелять так прямо! Хорошо, что Бог помиловал нас. И за чтò же? Ну, кто же в наше время не имеет интриги? Что ж, коли он так ревнив? Я понимаю, ведь он прежде мог дать почувствовать, а то год ведь продолжалось. И чтò же, вызвал на дуэль, полагая, что Федя не будет драться, потому что он ему должен. Какая низость! Какая гадость! Я знаю, вы Федю поняли, мой милый граф, оттого-то я вас душой люблю, верьте мне. Его редкие понимают. Это такая высокая, небесная душа!	KEEP	0.99	VALID_EXPLICIT_LOVE_I_YOU	Russian «я вас душой люблю» explicitly realizes first-person singular experiencer «я» loving the second-person target «вас», with «душой» as an adverbial modifier.
tolstoy-war-and-peace-1aa794a7bd4e9735	tolstoy-war-and-peace	ru	je vous aime	— Mon enfant! — проговорила она, — je vous aime et vous connais depuis longtemps.	KEEP	0.99	VALID_EXPLICIT_LOVE_I_YOU	The French code-switched clause “je vous aime” explicitly realizes first-person singular experiencer je loving second-person target vous.
tolstoy-war-and-peace-1cfaf0f75c6018e9	tolstoy-war-and-peace	ru	Je vous aime	— Je vous aime! — сказал он, вспомнив то, чтó нужно было говорить в этих случаях; но слова эти прозвучали так бедно, что ему стало стыдно за себя.	KEEP	0.99	VALID_EXPLICIT_LOVE_I_YOU	The quoted French declaration “Je vous aime” explicitly realizes first-person singular LOVE with second-person vous as the direct target.
tolstoy-war-and-peace-2657bf026adaa944	tolstoy-war-and-peace	ru	я люблю вас	— Chère Анна Михайловна, — сказал он с своею всегдашнею фамильярностью и скукой в голосе, — для меня почти невозможно сделать то, чтò вы хотите; но чтобы доказать вам, как я люблю вас и чту память покойного отца вашего, я сделаю невозможное: сын ваш будет переведен в гвардию, вот вам моя рука. Довольны вы?	KEEP	0.99	VALID_EXPLICIT_LOVE_I_YOU	Russian «я люблю вас» explicitly realizes first-person singular experiencer «я» with second-person target «вас» in the love/affection sense.
tolstoy-war-and-peace-2697357f44814321	tolstoy-war-and-peace	ru	Я вас всех люблю	«Я вас всех люблю и никому дурного не делала, и чтò вы со мной сделали?» говорило ее прелестное, жалкое, мертвое лицо. В углу комнаты хрюкнуло и пискнуло что-то маленькое, красное в белых трясущихся руках Марьи Богдановны.	KEEP	0.99	VALID_EXPLICIT_LOVE_I_YOU	Russian «Я вас всех люблю» explicitly realizes first-person singular experiencer «я» loving second-person plural/formal target «вас всех».
