occurrence_id	work	language	match	short_context	ai_decision	confidence	reason_code	review_note
sand-la-mare-au-diable-43a4cb049442524e	sand-la-mare-au-diable	fr	Je vous aime	—Germain, répondit Marie, tout étonnée et toute pensive, vous parlez honnêtement et tout ce que vous dites est vrai. Je suis sûre que je ferais bien de vous aimer, si ça ne mécontentait pas trop vos parents: mais que voulez-vous que j’y fasse? le cœur ne m’en dit pas pour vous. Je vous aime bien, mais quoique votre âge ne vous enlaidisse pas, il me fait peur. Il me semble que vous êtes quelque chose pour moi, comme un oncle ou un parrain; que je vous dois le respect, et que vous auriez des moments où vous me traiteriez comme une petite fille plutôt que comme votre femme et votre égale. Enfin, mes camarades se moqueraient peut-être de moi, et quoique ça soit une sottise de faire attention à cela, je crois que je serais honteuse et un peu triste le jour de mes noces.	EXCLUDE	0.96	EXCLUDE_NOT_LOVE_SENSE	In context, the full phrase is «Je vous aime bien», meaning ‘I like/am fond of you’; Marie explicitly contrasts this affection with the absence of romantic love («le cœur ne m’en dit pas pour vous»).
dumas-fils-la-dame-aux-camelias-953a695b33863f6a	dumas-fils-la-dame-aux-camelias	fr	je t'aime	--Parce que, chère enfant, je n'entends pas que l'affection que tu veux bien avoir pour moi te prive même d'un bijou. Je ne veux pas, moi non plus, que dans un moment de gêne ou d'ennui, tu puisses réfléchir que si tu vivais avec un autre homme ces moments n'existeraient pas, et que tu te repentes, ne fût-ce qu'une minute, de vivre avec moi. Dans quelques jours, tes chevaux, tes diamants et tes cachemires te seront rendus. Ils te sont aussi nécessaires que l'air à la vie, et c'est peut-être ridicule, mais je t'aime mieux somptueuse que simple.	EXCLUDE	0.99	EXCLUDE_NOT_LOVE_SENSE	Here « je t'aime mieux somptueuse que simple » uses « aimer mieux X que Y » in the sense ‘prefer you lavish rather than simple,’ not LOVE(I,YOU).
balzac-illusions-perdues-02f3d2e81d2ecdde	balzac-illusions-perdues	fr	Je t'aimerai	—Viens, mon pauvre Musot, viens tant que tu voudras, dit-elle. Je t'aimerai mieux en ne te trompant point.	KEEP	0.98	VALID_EXPLICIT_LOVE_I_YOU	French « Je t’aimerai mieux en ne te trompant point » uses aimer transitively with first-person experiencer and second-person object; mieux modifies the manner/degree of loving, not the preference construction aimer mieux.
colette-le-ble-en-herbe-6a5d5cd54d704a4a	colette-le-ble-en-herbe	fr	je t'aime	--Phil! je t'en prie, ne sois pas fâché... Tu as quelque chose contre moi... Phil, tu sais bien que je t'aime mieux que tout le monde. Parle-moi, Phil!	KEEP	0.98	VALID_EXPLICIT_LOVE_I_YOU	In « je t’aime mieux que tout le monde », first-person « je » is the experiencer and second-person « t’ » is the loved target; « mieux que tout le monde » expresses comparative degree.
alcott-little-women-9ca93320ba262179	alcott-little-women	en	I love you	“Don’t feel that I am separated from you, Marmee dear, or that I love you any the less for loving John so much,” she said, clinging to her mother, with full eyes for a moment. “I shall come every day, Father, and expect to keep my old place in all your hearts, though I am married. Beth is going to be with me a great deal, and the other girls will drop in now and then to laugh at my housekeeping struggles. Thank you all for my happy wedding day. Good-by, good-by!”	KEEP	0.99	VALID_EXPLICIT_LOVE_I_YOU	“I love you” explicitly realizes first-person singular experiencer and second-person target, despite occurring within a negated comparative construction (“not ... any the less”).
balzac-illusions-perdues-2191f29faa935934	balzac-illusions-perdues	fr	je t'aimais	—Ah! Louise, comme je t'aimais! lui dit-il à l'oreille sans se soucier du prélat ni de la conversation au moment où il vit que ses larmes avaient été vues par la comtesse.	KEEP	0.99	VALID_EXPLICIT_LOVE_I_YOU	French « je t’aimais » explicitly realizes first-person singular aimer with the second-person object t’, meaning “I loved you.”
balzac-illusions-perdues-4694dece9a911c92	balzac-illusions-perdues	fr	je vous aime	Lucien inclina mollement et tristement la tête en ajoutant un moment après:—Ne me jugez pas mal, mes anges aimés. Il prit Ève et David, les embrassa, les rapprocha de lui, les serra en disant:—Attendez les résultats, et vous saurez combien je vous aime. David, à quoi servirait notre hauteur de pensée, si elle ne nous permettait pas de faire abstraction des petites cérémonies dans lesquelles les lois entortillent les sentiments? Malgré la distance, mon âme ne sera-t-elle pas ici? la pensée ne nous réunira-t-elle pas? N'ai-je pas une destinée à accomplir? Les libraires viendront-ils chercher ici mon Archer de Charles IX, et les Marguerites? Un peu plus tôt, un peu plus tard, ne faut-il pas toujours faire ce que je fais aujourd'hui, puis-je jamais rencontrer des circonstances plus favorables? N'est-ce pas toute ma fortune que d'entrer pour mon début à Paris dans le salon de la marquise d'Espard?	KEEP	0.99	VALID_EXPLICIT_LOVE_I_YOU	In « combien je vous aime », first-person singular « je » is the experiencer of aimer and second-person plural/polite « vous » is its direct target.
balzac-illusions-perdues-4d928ce6cd452e24	balzac-illusions-perdues	fr	Je vous aimerais	—Vous ne connaissez pas les femmes, répondit madame d'Espard en interrompant Lucien. Vous avez blessé le cœur le plus angélique et l'âme la plus noble que je connaisse. Vous ignorez tout ce que Louise voulait faire pour vous, et combien elle mettait de finesse dans son plan. Oh! elle eût réussi, fit-elle à une muette dénégation de Lucien. Son mari qui maintenant est mort, comme il devait mourir, d'une indigestion, n'allait-il pas lui rendre, tôt ou tard, sa liberté? Croyez-vous qu'elle voulût être madame Chardon? Le titre de comtesse de Rubempré valait bien la peine d'être conquis. Voyez-vous? l'amour est une grande vanité qui doit s'accorder, surtout en mariage, avec toutes les autres vanités. Je vous aimerais à la folie, c'est-à-dire assez pour vous épouser, il me serait très-dur de m'appeler madame Chardon. Convenez-en? Maintenant, vous avez vu les difficultés de la vie à Paris, vous savez combien de détours il faut faire pour arriver au but; eh! bien, avouez que pour un inconnu sans fortune, Louise aspirait à une faveur presque impossible, elle devait donc ne rien négliger. Vous avez beaucoup d'esprit, mais quand nous aimons, nous en avons encore plus que l'homme le plus spirituel. Ma cousine voulait employer ce ridicule Châtelet... Je vous dois des plaisirs, vos articles contre lui m'ont fait bien rire! dit-elle en s'interrompant.	KEEP	0.99	VALID_EXPLICIT_LOVE_I_YOU	French « Je vous aimerais à la folie » explicitly realizes first-person singular aimer with second-person vous as the loved object.
balzac-illusions-perdues-61fbb32d86fa426a	balzac-illusions-perdues	fr	je vous aime	écédait de quelques pas, lorsqu'en arrivant là, dit-il en montrant la porte du boudoir, il prétend vous avoir vue avec monsieur de Rubempré dans une situation qui ne lui permettait pas d'entrer; il est revenu sur moi tout effaré en m'entraînant, sans me laisser le temps de me reconnaître; et nous étions à Beaulieu, quand il me dit la raison de sa retraite. Si je l'avais connue, je n'aurais pas bougé de chez vous, afin d'éclaircir cette affaire à votre avantage; mais revenir chez vous après en être sorti ne prouvait plus rien. Maintenant, que Stanislas ait vu de travers, ou qu'il ait raison, _il doit avoir tort_. Chère Naïs, ne laissez pas jouer votre vie, votre honneur, votre avenir par un sot; imposez-lui silence à l'instant. Vous connaissez ma situation ici? Quoique j'y aie besoin de tout le monde, je vous suis entièrement dévoué. Disposez d'une vie qui vous appartient. Quoique vous ayez repoussé mes vœux, mon cœur sera toujours à vous, et en toute occasion je vous prouverai combien je vous aime. Oui, je veillerai sur vous comme un fidèle serviteur, sans espoir de récompense, uniquement pour le plaisir que je trouve à vous servir, même à votre insu. Ce matin, j'ai partout dit que j'étais à la porte du salon, et que je n'avais rien vu. Si l'on vous demande qui vous a instruite des propos tenus sur vous, servez-vous de moi. Je serais bien glorieux d'être votre défenseur avoué; mais, entre nous, monsieur de Bargeton est le seul qui puisse demander raison à Stanislas... Quand ce petit Rubempré aurait fait quelque folie, l'honneur d'une femme ne saurait être à la merci du premier étourdi qui se met à ses pieds. Voilà ce que j'ai dit.	KEEP	0.99	VALID_EXPLICIT_LOVE_I_YOU	In « je vous prouverai combien je vous aime », « je » is the first-person experiencer and « vous » is the direct second-person target of aimer in its romantic/affective sense.
balzac-illusions-perdues-6f5451dc60a8ce78	balzac-illusions-perdues	fr	je vous aime	—Oh! mon Dieu, s'écria Lucien, vous ne savez donc pas combien je vous aime.	KEEP	0.99	VALID_EXPLICIT_LOVE_I_YOU	The explicit French clause « je vous aime » has first-person singular experiencer « je » and second-person target « vous » in the ordinary love sense.
